"","Gene"
"1326","Syn1"
"1327","Olig1"
"1328","Cd9"
"1329","Pdgfra"
"1330","Olig2"
"1331","Fabp7"
"1332","Gpr17"
"1333","Sox10"
"1334","Cspg4"
"1335","Neu4"
"1336","S100a13"
"1337","Ednrb"
"1338","Mfsd2a"
"1339","Kank1"
"1340","Tmem255b"
"1341","Zfp36l1"
"1342","Matn4"
"1343","Gjc3"
"1344","Bcas1"
"1345","Epas1"
"1346","Zfp488"
"1347","Nkx2-2"
"1348","Cd9-ps"
"1349","Caskin2"
"1350","Chst5"
"1351","Zcchc24"
"1352","Lims2"
"1353","Kcnj10"
"1354","Emid1"
"1355","Itpr2"
"1356","Adora2b"
"1357","Snhg11"
"1358","Tceal5"
"1359","Serp2"
"1360","Cxx1c"
"1361","Acot13"
"1362","Ghitm"
"1363","Rogdi"
"1364","Myt1l"
"1365","Pmm1"
"1366","Tubb3"
"1367","Ccnb1"
"1368","Ube2c"
"1369","Pbk"
"1370","Top2a"
"1371","Cdk1"
"1372","Casc5"
"1373","Kif2c"
"1374","Ttk"
"1375","Troap"
"1376","1190002F15Rik"
"1377","Cdc25c"
"1378","Cdca2"
"1379","Ticrr"
"1380","Ect2"
"1381","Plk1"
"1382","Nuf2"
"1383","Ckap2"
"1384","Kif20a"
"1385","Ckap2l"
"1386","Mis18bp1"
"1387","Cenpf"
"1388","Rlbp1"
"1389","Mki67"
"1390","Cdkn2c"
"1391","Cdc20"
"1392","Nusap1"
"1393","Kif11"
"1394","Knstrn"
"1395","Melk"
"1396","Arhgap11a"
"1397","Pdpn"
"1398","Caly"
"1399","Vsnl1"
"1400","Nsg1"
"1401","Ly6h"
"1402","Rgs7bp"
"1403","Syn2"
"1404","Mt3"
"1405","Tceal6"
"1406","Lppr4"
"1407","Cx3cl1"
"1408","Mag"
"1409","9630013A20Rik"
"1410","Ugt8a"
"1411","Enpp6"
"1412","Bfsp2"
"1413","Fa2h"
"1414","Cldn11"
"1415","Plxnb3"
"1416","Myrf"
"1417","Mog"
"1418","Trf"
"1419","1700047M11Rik"
"1420","Nkx6-2"
"1421","Dct"
"1422","Sgk2"
"1423","4930452G13Rik"
"1424","Chst3"
"1425","Folr2"
"1426","Cldn14"
"1427","Mir7049"
"1428","Mcam"
"1429","Tcf7l2"
"1430","Plp1"
"1431","Kif19a"
"1432","Car14"
"1433","Cyp27a1"
"1434","Brca1"
"1435","Alox5"
"1436","Btbd16"
"1437","St18"
"1438","Bcas1os2"
"1439","Ninj2"
"1440","Itgb7"
"1441","Prima1"
"1442","Cd82"
"1443","Rtn1"
"1444","Atp1b1"
"1445","Ndrg4"
"1446","Tubb2a"
"1447","Zcchc18"
"1448","Basp1"
"1449","Mobp"
"1450","Mal"
"1451","Opalin"
"1452","Csrp1"
"1453","Aspa"
"1454","Ppp1r14a"
"1455","Rhog"
"1456","Gpr37"
"1457","Litaf"
"1458","Gng11"
"1459","Evi2a"
"1460","Hapln2"
"1461","Tmem88b"
"1462","Tnfaip6"
"1463","Pla2g16"
"1464","Il33"
"1465","C030029H02Rik"
"1466","Gjb1"
"1467","Cercam"
"1468","Efhd1"
"1469","Ttyh2"
"1470","Tmem63a"
"1471","Tmem98"
"1472","Gpm6a"
"1473","Bex1"
"1474","Tagln3"
"1475","Tmem125"
"1476","Gjc2"
"1477","Adamts4"
"1478","Olfml1"
"1479","Cdc42ep1"
"1480","Insc"
"1481","Galnt6"
"1482","Tnni1"
"1483","Itih3"
"1484","Scg5"
"1485","Faim2"
"1486","Phyhipl"
"1487","Nrxn1"
"1488","Fez1"
"1489","Nap1l5"
"1490","Tceal3"
"1491","Anks1b"
"1492","Mapt"
"1493","2900011O08Rik"
"1494","Kif1a"
"1495","Dcn"
"1496","Ifitm3"
"1497","Serping1"
"1498","Bgn"
"1499","Pcolce"
"1500","Ogn"
"1501","S100a11"
"1502","Anxa1"
"1503","Ctsh"
"1504","Col1a2"
"1505","Rcn3"
"1506","Cfh"
"1507","Psmb9"
"1508","Gbp2"
"1509","Gstm2"
"1510","Ly6a"
"1511","Anxa3"
"1512","Fam180a"
"1513","Cyba"
"1514","AW112010"
"1515","Tgtp2"
"1516","Iigp1"
"1517","Foxc1"
"1518","Gjb2"
"1519","Ifi47"
"1520","Nid1"
"1521","Ccl5"
"1522","H2-Q6"
"1523","H2-Q7"
"1524","Eya2"
"1525","H2-Ab1"
"1526","H2-Aa"
"1527","Col1a1"
"1528","Cxcl10"
"1529","Tgtp1"
"1530","Sp110"
"1531","Gbp6"
"1532","Col3a1"
"1533","Zic4"
"1534","Bdh2"
"1535","Gbp4"
"1536","Ifitm1"
"1537","Omd"
"1538","Zic1"
"1539","Aplp1"
"1540","Syt11"
"1541","Clu"
"1542","Olfm1"
"1543","Enpp5"
"1544","Atp6v0e2"
"1545","Vtn"
"1546","Slc6a13"
"1547","Sparc"
"1548","Slc7a11"
"1549","Slc6a20a"
"1550","Igf2"
"1551","Slc22a6"
"1552","Aldh1a2"
"1553","Fmod"
"1554","Colec12"
"1555","Slc13a4"
"1556","Lum"
"1557","Cped1"
"1558","Prelp"
"1559","Fcgrt"
"1560","Txnip"
"1561","Olfml3"
"1562","Cpq"
"1563","Tcn2"
"1564","Slc13a3"
"1565","Gria2"
"1566","Kcnj13"
"1567","Slc22a8"
"1568","Crabp2"
"1569","Fgfbp1"
"1570","Asgr1"
"1571","Pdzk1ip1"
"1572","Slc6a12"
"1573","Spo11"
"1574","Hs3st6"
"1575","H2-Q1"
"1576","Insrr"
"1577","Foxc2"
"1578","Spp2"
"1579","LOC105244391"
"1580","Wnt6"
"1581","Cd79a"
"1582","Plscr2"
"1583","Msx1"
"1584","Vamp5"
"1585","Ranbp3l"
"1586","Cpe"
"1587","Sod3"
"1588","Cnn2"
"1589","Slc1a5"
"1590","Serpinh1"
"1591","Myl9"
"1592","Eva1b"
"1593","Kdelr3"
"1594","Cyp1b1"
"1595","Gpr182"
"1596","Klc1"
"1597","Atp6v1a"
"1598","1500011B03Rik"
"1599","Dclk1"
"1600","Gnao1"
"1601","Higd1b"
"1602","Atp13a5"
"1603","P2ry14"
"1604","Art3"
"1605","Tm4sf1"
"1606","Ndufa4l2"
"1607","Kcnj8"
"1608","Tagln2"
"1609","Pdgfrb"
"1610","Rarres2"
"1611","Cox4i2"
"1612","Abcc9"
"1613","Slc38a11"
"1614","Aspn"
"1615","Pla1a"
"1616","Itga1"
"1617","Enpep"
"1618","Gper1"
"1619","Atp2a3"
"1620","Ace2"
"1621","Rbpms"
"1622","Axl"
"1623","Vstm4"
"1624","Msn"
"1625","Crip1"
"1626","Ednra"
"1627","Hrct1"
"1628","Cgnl1"
"1629","Slc22a17"
"1630","Pfn2"
"1631","Dnm3"
"1632","Acta2"
"1633","Tagln"
"1634","Myh11"
"1635","Filip1l"
"1636","Vim"
"1637","Cav1"
"1638","Wtip"
"1639","Tinagl1"
"1640","Ptrf"
"1641","Des"
"1642","Phldb2"
"1643","Gja4"
"1644","Zfhx3"
"1645","Lmod1"
"1646","Mir143hg"
"1647","Snhg18"
"1648","Tspan7"
"1649","Rab3a"
"1650","Ly6c1"
"1651","Cldn5"
"1652","Slco1a4"
"1653","Flt1"
"1654","Eltd1"
"1655","Id1"
"1656","Pglyrp1"
"1657","Esam"
"1658","Wfdc1"
"1659","Ctla2a"
"1660","Srgn"
"1661","Abcb1a"
"1662","Tmem204"
"1663","Emcn"
"1664","Klf2"
"1665","Ptprb"
"1666","Gpr116"
"1667","Sox18"
"1668","Nostrin"
"1669","Lsr"
"1670","Fxyd5"
"1671","Tek"
"1672","Podxl"
"1673","Pecam1"
"1674","Ucp2"
"1675","Eng"
"1676","Ahnak"
"1677","Icam2"
"1678","Ocln"
"1679","Tecr"
"1680","Ldhb"
"1681","Tspan3"
"1682","Gkn3"
"1683","Sox17"
"1684","Gata2"
"1685","Ecscr"
"1686","Vwf"
"1687","Cytl1"
"1688","She"
"1689","Bmx"
"1690","Syt15"
"1691","Sema3g"
"1692","Mmrn2"
"1693","Mecom"
"1694","AU021092"
"1695","Ly6c2"
"1696","Tie1"
"1697","Cdh5"
"1698","Adcy4"
"1699","Hsp25-ps1"
"1700","Il2rg"
"1701","Cyyr1"
"1702","Ccm2l"
"1703","C1qb"
"1704","C1qc"
"1705","Pf4"
"1706","C1qa"
"1707","Fcer1g"
"1708","Mrc1"
"1709","Tyrobp"
"1710","Ctss"
"1711","Fcrls"
"1712","Fcgr3"
"1713","F13a1"
"1714","Csf1r"
"1715","Cbr2"
"1716","Ms4a7"
"1717","Stab1"
"1718","Ms4a4a"
"1719","Emr1"
"1720","Fcgr2b"
"1721","Laptm5"
"1722","Cd53"
"1723","Ms4a6d"
"1724","Ly86"
"1725","Clec4n"
"1726","Ms4a6b"
"1727","Rnase4"
"1728","Unc93b1"
"1729","Aif1"
"1730","Zfp36"
"1731","Clec4a3"
"1732","Ltc4s"
"1733","Clec4a2"
"1734","Hpgds"
"1735","Bst2"
"1736","Pld4"
"1737","Lyve1"
"1738","Ptpn18"
"1739","Ms4a6c"
"1740","Snap47"
"1741","Gabarapl1"
"1742","Selplg"
"1743","Cx3cr1"
"1744","Siglech"
"1745","Gpr34"
"1746","Tmem119"
"1747","4632428N05Rik"
"1748","P2ry13"
"1749","Lpcat2"
"1750","AF251705"
"1751","Crybb1"
"1752","Fyb"
"1753","Slco2b1"
"1754","Lyn"
"1755","Cyth4"
"1756","F11r"
"1757","Inpp5d"
"1758","Itga8"
"1759","Wipf3"
"1760","Cdh4"
"1761","Slc8a3"
"1762","Npas1"
"1763","Sorcs1"
"1764","Tbc1d8b"
"1765","LOC102643175"
"1766","Cacng5"
"1767","Tmem150c"
"1768","Stc1"
"1769","Spint2"
"1770","Kirrel3"
"1771","S100a10"
"1772","Zdhhc22"
"1773","Rwdd3"
"1774","Cachd1"
"1775","Cdh18"
"1776","Zfp618"
"1777","Ptprf"
"1778","Caln1"
"1779","Fat1"
"1780","Htr2a"
"1781","Tgfb2"
"1782","Nfia"
"1783","Sox1"
"1784","Adamts17"
"1785","Kcnj4"
"1786","Olfm3"
"1787","Teddm3"
"1788","Tmem196"
"1789","Zfp804b"
"1790","Pcdh18"
"1791","Galnt14"
"1792","Arhgap24"
"1793","Ildr2"
"1794","Cd63"
"1795","Ndst3"
"1796","Mafb"
"1797","Baiap2l2"
"1798","Oprm1"
"1799","Grin2a"
"1800","Kirrel"
"1801","Hist1h2be"
"1802","Gstm6"
"1803","Rgs12"
"1804","Pantr1"
"1805","Deptor"
"1806","Tmem91"
"1807","Adra1b"
"1808","Tm6sf1"
"1809","Fam210b"
"1810","Cntnap4"
"1811","Amot"
"1812","Zmat4"
"1813","Gria3"
"1814","Mpped1"
"1815","Ptchd1"
"1816","Csmd1"
"1817","B130024G19Rik"
"1818","Pbx3"
"1819","Cybrd1"
"1820","Mt2"
"1821","Nt5dc2"
"1822","Brinp3"
"1823","Rgs16"
"1824","Mir568"
"1825","Igsf21"
"1826","Galnt18"
"1827","Mgat5b"
"1828","Itpr1"
"1829","Kitl"
"1830","Srrm3"
"1831","Crh"
"1832","Hopx"
"1833","Nfkbiz"
"1834","Nupr1"
"1835","Nrgn"
"1836","Hapln1"
"1837","Jam2"
"1838","Kit"
"1839","Cap2"
"1840","Fam181b"
"1841","Adra1a"
"1842","Trpc5"
"1843","Dnah7b"
"1844","Cacng3"
"1845","Gpc6"
"1846","Nacc2"
"1847","Vstm2b"
"1848","Scx"
"1849","Sorl1"
"1850","Rasd2"
"1851","Cldn1"
"1852","Cd83"
"1853","Kcnh7"
"1854","Mapk4"
"1855","Mmd2"
"1856","Grm5"
"1857","Cacna2d1"
"1858","Edil3"
"1859","Fgf13"
"1860","Scn9a"
"1861","Hdac9"
"1862","Qpct"
"1863","Anxa2"
"1864","Mkx"
"1865","A330050F15Rik"
"1866","Ifit2"
"1867","Dgkb"
"1868","Klhl13"
"1869","Myh13"
"1870","Myh1"
"1871","Stard13"
"1872","Ccna1"
"1873","LOC102638110"
"1874","Camk4"
"1875","St8sia4"
"1876","Plch1"
"1877","Ngef"
"1878","Dpp10"
"1879","Ptpro"
"1880","Slc8a1"
"1881","Bche"
"1882","Adssl1"
"1883","Fam131c"
"1884","Lgi3"
"1885","A930029G22Rik"
"1886","Adm"
"1887","Cntnap5b"
"1888","Trps1"
"1889","Bcl2l11"
"1890","C730002L08Rik"
"1891","Egr2"
"1892","Palmd"
"1893","Dbpht2"
"1894","Tiam2"
"1895","Sox2ot"
"1896","Acvr1c"
"1897","Wnt10a"
"1898","Robo3"
"1899","Rab3b"
"1900","Prdm8"
"1901","Macc1"
"1902","Npw"
"1903","Mylk3"
"1904","Exph5"
"1905","Shisa3"
"1906","Prss22"
"1907","Inf2"
"1908","Tyro3"
"1909","LOC102633724"
"1910","Klhdc8a"
"1911","Cd72"
"1912","Btbd11"
"1913","Met"
"1914","Dysf"
"1915","Twist2"
"1916","Ucma"
"1917","Adamts2"
"1918","E030003E18Rik"
"1919","Aldh1a1"
"1920","Tekt5"
"1921","Prph"
"1922","Tle4"
"1923","Slit1"
"1924","Gdpd2"
"1925","Colgalt2"
"1926","Tmeff2"
"1927","A230077H06Rik"
"1928","Aldoc"
"1929","Nnmt"
"1930","Slc7a3"
"1931","Mcc"
"1932","Sorcs2"
"1933","Sema5a"
"1934","Gpd1"
"1935","Isoc1"
"1936","1810041L15Rik"
"1937","Vav2"
"1938","Hlf"
"1939","Pnp"
"1940","Npy1r"
"1941","Ipcef1"
"1942","Gstm7"
"1943","2900092D14Rik"
"1944","Robo1"
"1945","Pou3f3"
"1946","Lin28b"
"1947","Htr1a"
"1948","Slc30a10"
"1949","Intu"
"1950","C130030K03Rik"
"1951","Cntn3"
"1952","LOC105245305"
"1953","Fam184b"
"1954","Eps8"
"1955","Krtcap3"
"1956","Htra1"
"1957","Necab2"
"1958","Cav2"
"1959","Sstr1"
"1960","Kcnn2"
"1961","Pde4b"
"1962","Bcl6"
"1963","Zim1"
"1964","Rasl11b"
"1965","Ier5"
"1966","Frzb"
"1967","Phlda1"
"1968","Cntn4"
"1969","Ascl1"
"1970","Dcc"
"1971","Dscam"
"1972","Pawr"
"1973","Grk5"
"1974","Gsg1l"
"1975","Rassf3"
"1976","Bmp3"
"1977","Tshz1"
"1978","A230006K03Rik"
"1979","Gstt1"
"1980","Camk1g"
"1981","5033430I15Rik"
"1982","Mxra7"
"1983","Nkain3"
"1984","Elk3"
"1985","Mfsd4"
"1986","Mctp1"
"1987","Stxbp2"
"1988","Dennd2a"
"1989","Csmd3"
"1990","Ptprd"
"1991","Cntn5"
"1992","Pcdh9"
"1993","Plcxd2"
"1994","Tmie"
"1995","Hcn1"
"1996","Sytl5"
"1997","Ptpn20"
"1998","Slc24a3"
"1999","Synm"
"2000","Camk2a"
"2001","Gpr176"
"2002","Miat"
"2003","Npy"
"2004","Pcdh17"
"2005","Trpc3"
"2006","Tmem108"
"2007","1700001O22Rik"
"2008","Kcnab1"
"2009","Rasgef1c"
"2010","Wfs1"
"2011","Rasgrp2"
"2012","Abat"
"2013","Rnf128"
"2014","Fgf11"
"2015","Dapk2"
"2016","Fras1"
"2017","Lppr3"
"2018","1700001L19Rik"
"2019","Adra1d"
"2020","Lhfp"
"2021","Pgam2"
"2022","Gpr133"
"2023","Lxn"
"2024","Cmbl"
"2025","Kcnc1"
"2026","Ntng1"
"2027","Alox12b"
"2028","Dcdc2a"
"2029","Raver2"
"2030","Mmp9"
"2031","Lrrc9"
"2032","4833415N18Rik"
"2033","Acadl"
"2034","Ephb1"
"2035","Ephx2"
"2036","Stmn1-rs2"
"2037","Tmem132e"
"2038","Hrh1"
"2039","Cdh13"
"2040","Hs6st2"
"2041","Trib2"
"2042","Lor"
"2043","Tuba8"
"2044","Fgf18"
"2045","Kcng2"
"2046","Ell2"
"2047","Tmem132d"
"2048","Tnr"
"2049","Abcb1b"
"2050","Klhl4"
"2051","Myo3b"
"2052","Pdzrn4"
"2053","Sytl2"
"2054","Kcnn3"
"2055","Ptprr"
"2056","Il1rap"
"2057","Ifitm10"
"2058","Nyap2"
"2059","Kcnk2"
"2060","Kcnc4"
"2061","Rassf4"
"2062","4632428C04Rik"
"2063","Mlip"
"2064","Ptchd2"
"2065","Dock4"
"2066","Phlda3"
"2067","Klf3"
"2068","Spsb4"
"2069","Cpne5"
"2070","Afap1"
"2071","2010300C02Rik"
"2072","Slc35g2"
"2073","Metrnl"
"2074","Eepd1"
"2075","Mapk11"
"2076","Fgf9"
"2077","LOC105246694"
"2078","Rasal1"
"2079","Ier3"
"2080","Akap13"
"2081","Rnf207"
"2082","Serpinb9"
"2083","Fbxl21"
"2084","Smim3"
"2085","LOC102640573"
"2086","Gpr150"
"2087","Cables1"
"2088","Ddr2"
"2089","Ntrk3"
"2090","Prr5"
"2091","Dusp4"
"2092","Cald1"
"2093","Tspan33"
"2094","Gsta4"
"2095","5031426D15Rik"
"2096","Cnn3"
"2097","Gng7"
"2098","Pcsk1"
"2099","Ctsz"
"2100","Ubash3b"
"2101","Sox2"
"2102","Homer2"
"2103","9430020K01Rik"
"2104","Gabbr2"
"2105","6430548M08Rik"
"2106","Mycn"
"2107","Aard"
"2108","Gad1-ps"
"2109","Bhlhe22"
"2110","Bhlhe40"
"2111","Camk2d"
"2112","Unc5c"
"2113","Diras2"
"2114","Fam102b"
"2115","Islr2"
"2116","Hhatl"
"2117","Zbtb20"
"2118","A530058N18Rik"
"2119","Tcerg1l"
"2120","Icam5"
"2121","Dlx2"
"2122","Prkcg"
"2123","Lzts1"
"2124","Gng4"
"2125","LOC102638890"
"2126","Vip"
"2127","Sncg"
"2128","Strip2"
"2129","Me1"
"2130","Rap1gap2"
"2131","Sox8"
"2132","LOC105245295"
"2133","Sstr2"
"2134","Ppp1r14c"
"2135","Slc39a11"
"2136","Poc1a"
"2137","A730020E08Rik"
"2138","Cep112"
"2139","Plekha6"
"2140","Glra2"
"2141","Fgfr1"
"2142","Tppp3"
"2143","Hist1h2bc"
"2144","Kcnh3"
"2145","Fam69c"
"2146","Utrn"
"2147","Brinp2"
"2148","G0s2"
"2149","Ajap1"
"2150","Pdzd2"
"2151","Tnc"
"2152","1600029O15Rik"
"2153","Inadl"
"2154","Gpr153"
"2155","Nrp2"
"2156","Pag1"
"2157","LOC105243540"
"2158","Kcnd3os"
"2159","Fhad1"
"2160","St6gal1"
"2161","Paqr8"
"2162","6330416G13Rik"
"2163","Adra2c"
"2164","Chst12"
"2165","Dclre1b"
"2166","Zdbf2"
"2167","Plod2"
"2168","Decr1"
"2169","Ghr"
"2170","Mthfd1l"
"2171","Lrrc6"
"2172","Fmn1"
"2173","E130215H24Rik"
"2174","Sdsl"
"2175","Kcnk13"
"2176","6430571L13Rik"
"2177","BC089491"
"2178","Kcnj12"
"2179","Asap2"
"2180","Prkca"
"2181","D8Ertd82e"
"2182","Tmem35"
"2183","Tmem132b"
"2184","Arl4a"
"2185","Thbs3"
"2186","Fam163b"
"2187","Sertm1"
"2188","Gpr123"
"2189","Hunk"
"2190","Cntnap5c"
"2191","Tpd52"
"2192","Kcnip3"
"2193","Slc4a4"
"2194","Dusp5"
"2195","Fam43a"
"2196","Zbtb16"
"2197","Zeb2"
"2198","LOC102634887"
"2199","Pnp2"
"2200","Runx2"
"2201","Lrp1b"
"2202","LOC105247131"
"2203","Klhl1"
"2204","Iqgap2"
"2205","Chst1"
"2206","Rnd2"
"2207","LOC105245926"
"2208","Urah"
"2209","Fam19a5"
"2210","Drd5"
"2211","Camk2n1"
"2212","Gpr4"
"2213","9530026P05Rik"
"2214","Mal2"
"2215","Fam49a"
"2216","Gdpd5"
"2217","Tmod1"
"2218","Gnai1"
"2219","Tspan5"
"2220","Vgf"
"2221","Cobll1"
"2222","Pou6f2"
"2223","Cd200"
"2224","Gabra1"
"2225","Tsc22d4"
"2226","Daam2"
"2227","Eid1"
"2228","Afap1l2"
"2229","Mdk"
"2230","LOC105246959"
"2231","Selm"
"2232","Dync1i1"
"2233","Bnip3"
"2234","Kif21a"
"2235","Ccnb2"
"2236","Fgf12"
"2237","C1qtnf4"
"2238","Atp2b2"
"2239","Nsf"
"2240","Serpinb1a"
"2241","Anln"
"2242","Prr5l"
"2243","Tspan13"
"2244","Nipal4"
"2245","Gbp8"
"2246","Pltp"
"2247","Cox8b"
"2248","4930523C07Rik"
"2249","Tbx2"
"2250","Snx10"
"2251","Hspb2"
"2252","Itm2a"
"2253","Ccdc141"
"2254","Dll4"
"2255","Pcsk1n"
"2256","C3ar1"
"2257","Entpd1"
"2258","Adamts16"
"2259","C1qtnf2"
"2260","Tiparp"
"2261","Ptchd4"
"2262","Cacna1a"
"2263","Tiam1"
"2264","Pvrl1"
"2265","LOC105244000"
"2266","Fosl2"
"2267","Nr4a1"
"2268","Dusp6"
"2269","Pitpnm3"
"2270","Zfp804a"
"2271","Lamb1"
"2272","Lrrc55"
"2273","Abca1"
"2274","Tssk6"
"2275","2500002B13Rik"
"2276","Wisp1"
"2277","Hes1"
"2278","Stard10"
"2279","Gpr25"
"2280","Arhgef15"
"2281","Col19a1"
"2282","Ncaph"
"2283","Ptger4"
"2284","Ak4"
"2285","Snora30"
"2286","Nwd1"
"2287","Grin2c"
"2288","Atp13a4"
"2289","Ppp1r3g"
"2290","Gramd3"
"2291","Eva1a"
"2292","Dpyd"
"2293","Col11a2"
"2294","Pclo"
"2295","Mapk10"
"2296","Chga"
"2297","LOC105244487"
"2298","Sec14l5"
"2299","LOC105243044"
"2300","Plekhg3"
"2301","Lbp"
"2302","Foxd1"
"2303","C4b"
"2304","Aox3"
"2305","Mgst1"
"2306","Bmp6"
"2307","Tbx18"
"2308","Itih2"
"2309","Ecm2"
"2310","Ggt5"
"2311","Rasl12"
"2312","Lamb2"
"2313","Prom1"
"2314","Ly6i"
"2315","Eln"
"2316","Ccl24"
"2317","Cthrc1"
"2318","Pard6g"
"2319","Ptp4a3"
"2320","Igsf9b"
"2321","Acbd4"
"2322","Hrh2"
"2323","Nab2"
"2324","Klhl5"
"2325","2610100L16Rik"
"2326","Hip1"
"2327","Grid2"
"2328","Pycr1"
"2329","Grxcr2"
"2330","LOC105242594"
"2331","Tenm4"
"2332","Lhfpl3"
"2333","Cntn2"
"2334","Cd59a"
"2335","Lancl3"
"2336","Zeb1"
"2337","Crip2"
"2338","Pdzrn3"
"2339","Gadd45b"
"2340","Epha3"
"2341","Tnfrsf12a"
"2342","LOC105243198"
"2343","LOC432842"
"2344","Pde1b"
"2345","Kcnj3"
"2346","Gfpt2"
"2347","Enc1"
"2348","Traf6"
"2349","Qk"
"2350","Cdh11"
"2351","Gnb4"
"2352","Sema6d"
"2353","Serpina3n"
"2354","Hrh3"
"2355","Asic2"
"2356","Adam19"
"2357","Igfbp3"
"2358","Clstn2"
"2359","Kctd16"
"2360","Racgap1"
"2361","Ece1"
"2362","Numb"
"2363","Slco3a1"
"2364","Kazald1"
"2365","P4ha2"
"2366","Fam84a"
"2367","Mmp16"
"2368","Btbd3"
"2369","Smco3"
"2370","Gcnt2"
"2371","Inpp5j"
"2372","Akr1b10"
"2373","Kcnk3"
"2374","E530001K10Rik"
"2375","Slc5a5"
"2376","Fmnl1"
"2377","Prkce"
"2378","Rbms1"
"2379","Fat3"
"2380","Eno1b"
"2381","Cyp2j9"
"2382","Ptprn"
"2383","Chn1"
"2384","Smoc1"
"2385","Synj2"
"2386","Lhfpl5"
"2387","Gjd2"
"2388","Metrn"
"2389","LOC105246327"
"2390","Khdrbs2"
"2391","LOC105243280"
"2392","Dnajb5"
"2393","Cnp"
"2394","LOC105242595"
"2395","9530059O14Rik"
"2396","Lrrc75b"
"2397","2610318N02Rik"
"2398","Extl1"
"2399","Nudt7"
"2400","Mb21d2"
"2401","Col6a2"
"2402","Cdon"
"2403","Kcnj2"
"2404","Echdc2"
"2405","Ccnd1"
"2406","Tnfsf13b"
"2407","Gpr12"
"2408","Ramp2"
"2409","Emp2"
"2410","Wipi1"
"2411","Ephb6"
"2412","Doc2b"
"2413","Cd68"
"2414","Myo1e"
"2415","Shisa2"
"2416","Btg3"
"2417","Cd248"
"2418","LOC105244192"
"2419","Gnaz"
"2420","Mir99ahg"
"2421","LOC102635502"
"2422","Snx7"
"2423","Tmem178"
"2424","Tll1"
"2425","Oprd1"
"2426","Tgfb3"
"2427","Kcna1"
"2428","Mt1"
"2429","LOC105245978"
"2430","Pvt1"
"2431","Dok5"
"2432","Zfp57"
"2433","Nrep"
"2434","Zfp827"
"2435","Arid5b"
"2436","Pyurf"
"2437","Arhgap15"
"2438","Fkbp9"
"2439","Astn2"
"2440","4930447C04Rik"
"2441","Nrg3"
"2442","Adcy8"
"2443","Ankrd6"
"2444","Klf7"
"2445","Dscaml1"
"2446","Wbscr17"
"2447","Arhgef3"
"2448","Ier5l"
"2449","E230016M11Rik"
"2450","Garnl3"
"2451","LOC105246020"
"2452","Syt16"
"2453","Sik1"
"2454","Cyb561"
"2455","Cers6"
"2456","Thrb"
"2457","Brinp1"
"2458","Sgk1"
"2459","Kcnt2"
"2460","A330102I10Rik"
"2461","Srrm4"
"2462","Ctxn2"
"2463","Msrb2"
"2464","Sipa1l1"
"2465","6430573F11Rik"
"2466","Osbpl3"
"2467","2310067E19Rik"
"2468","Pde8b"
"2469","Dlgap2"
"2470","Mpdz"
"2471","Lmo4"
"2472","Golga7b"
"2473","Nmrk1"
"2474","Pak7"
"2475","Dock11"
"2476","Rab31"
"2477","Slc41a1"
"2478","Ethe1"
"2479","Cdc42ep3"
"2480","Unc5a"
"2481","Per3"
"2482","Rsph9"
"2483","Usp2"
"2484","Cda"
"2485","Limch1"
"2486","Asic1"
"2487","Mro"
"2488","Nfatc2"
"2489","Zfp575"
"2490","Abracl"
"2491","Psd3"
"2492","St8sia5"
"2493","Lrrtm3"
"2494","Lrrtm4"
"2495","A730017C20Rik"
"2496","Sptssb"
"2497","Eva1c"
"2498","Dpysl3"
"2499","Mcm6"
"2500","Zdhhc23"
"2501","Larp1b"
"2502","A830011K09Rik"
"2503","Pstpip2"
"2504","Chst15"
"2505","Pcbd1"
"2506","BC048546"
"2507","Mast3"
"2508","Ndrg2"
"2509","Glt8d2"
"2510","Cdk18"
"2511","Bai2"
"2512","Socs2"
"2513","6530411M01Rik"
"2514","Lats2"
"2515","Sgcz"
"2516","Fam171a1"
"2517","Pde7b"
"2518","Sel1l3"
"2519","2900079G21Rik"
"2520","D030068K23Rik"
"2521","Napepld"
"2522","Sipa1l2"
"2523","F730043M19Rik"
"2524","Snrpn"
"2525","Igsf10"
"2526","Fzd1"
"2527","Ap3b1"
"2528","Wscd1"
"2529","Triqk"
"2530","Hmgn5"
"2531","Ripply2"
"2532","Hs6st3"
"2533","Vrk1"
"2534","Kcna3"
"2535","Spats2l"
"2536","Slc35f1"
"2537","Rilpl1"
"2538","Ccnd2"
"2539","Nr3c2"
"2540","Pnpo"
"2541","Bean1"
"2542","Lhpp"
"2543","Sowaha"
"2544","Rgs3"
"2545","Dusp1"
"2546","Stx1a"
"2547","4930447M23Rik"
"2548","Dcx"
"2549","C230057M02Rik"
"2550","Zdhhc14"
"2551","Plxna2"
"2552","Rara"
"2553","Dlg1"
"2554","Cbfa2t3"
"2555","Egfl7"
"2556","St6gal2"
"2557","Mkrn3"
"2558","Plxnc1"
"2559","B3galt2"
"2560","Cygb"
"2561","Acrbp"
"2562","Gabrg3"
"2563","Sorbs2"
"2564","Trip10"
"2565","Cth"
"2566","Kcnab3"
"2567","Krt9"
"2568","Cdh2"
"2569","Hapln4"
"2570","Ass1"
"2571","Tubb2b"
"2572","Dleu7"
"2573","Sertad1"
"2574","Inhba"
"2575","Srpx2"
"2576","Tmtc2"
"2577","Tspan17"
"2578","1110032F04Rik"
"2579","Cdh22"
"2580","Hsdl2"
