"","Gene"
"163","Drd1"
"164","Tox3"
"165","Epha4"
"166","Col26a1"
"167","Car4"
"168","Egfem1"
"169","Slitrk2"
"170","Opcml"
"171","Dusp23"
"172","Arhgap18"
"173","Sp8"
"174","Dpy19l1"
"175","Egln3"
"176","Ptn"
"177","Alcam"
"178","Pcdh7"
"179","Pcdh8"
"180","Chrm3"
"181","Sncaip"
"182","Cpne2"
"183","Pde11a"
"184","Atp6ap1l"
"185","Crispld1"
"186","Egfr"
"187","Chst7"
"188","Ramp3"
"189","Vcan"
"190","Gdf10"
"191","Pdlim5"
"192","Alk"
"193","Grem2"
"194","Dusp10"
"195","Nos1"
"196","Arhgef28"
"197","Cntn6"
"198","Efna5"
"199","Rbm24"
"200","Gucy2g"
"201","Samd5"
"202","Sh3rf1"
"203","Cxcl14"
"204","Npas3"
"205","Pde1a"
"206","Sez6l"
"207","Asic4"
"208","Fstl5"
"209","Htr7"
"210","Cdh9"
"211","Phactr2"
"212","Cacng4"
"213","Enox2"
"214","Cntnap5a"
"215","Ddah1"
"216","Ptpru"
"217","Sdk2"
"218","C1qtnf1"
"219","Slc35d3"
"220","Lsp1"
"221","Fam46a"
"222","Rasl11a"
"223","Mia"
"224","Wif1"
"225","Cort"
"226","Kcnmb2"
"227","Htr1f"
"228","A330070K13Rik"
"229","Arid5a"
"230","Efcab6"
"231","Cd24a"
"232","Tox"
"233","Apod"
"234","Mrap2"
"235","Arhgap6"
"236","Plch2"
"237","Scube1"
"238","Fam198b"
"239","Cited4"
"240","Hspa1b"
"241","Cemip"
"242","Nr2f2"
"243","Necab1"
"244","Tspan12"
"245","Kcnip4"
"246","Fxyd6"
"247","Cd34"
"248","Cacna2d3"
"249","Shisa9"
"250","Parm1"
"251","Chrna4"
"252","Rassf2"
"253","Pvrl3"
"254","LOC102642556"
"255","Chsy3"
"256","Lhx6"
"257","Nkx2-1"
"258","E030019B13Rik"
"259","Pdlim3"
"260","Cdca7"
"261","Mctp2"
"262","Ackr3"
"263","Snai2"
"264","Igfbp2"
"265","Pkib"
"266","Cntnap3"
"267","Ptpre"
"268","Nek7"
"269","Tenm3"
"270","Mpped2"
"271","Ephx4"
"272","Zak"
"273","Plxdc2"
"274","Pou3f2"
"275","Pcdh15"
"276","Gucy1a3"
"277","Galnt9"
"278","Reln"
"279","Grik1"
"280","Ngf"
"281","Pld5"
"282","B4galt6"
"283","Fgf10"
"284","Lin7a"
"285","Lingo2"
"286","Flrt3"
"287","Prex2"
"288","Ncam2"
"289","Fstl1"
"290","Tspan2"
"291","Slc35f2"
"292","Epha6"
"293","Hes7"
"294","B3glct"
"295","Plcl1"
"296","Lmo7"
"297","Serpinf1"
"298","Cxcl5"
"299","Nov"
"300","Fam107a"
"301","Plekhg1"
"302","Mob3b"
"303","Pcp4"
"304","Fam159b"
"305","Slc44a5"
"306","Thbs2"
"307","Cdh12"
"308","St6galnac5"
"309","Ppap2b"
"310","Pde1c"
"311","Shisa8"
"312","Plxna4"
"313","N28178"
"314","Pde5a"
"315","Rasd1"
"316","1700019L22Rik"
"317","Cdh8"
"318","Rtn4rl1"
"319","Phgdh"
"320","LOC105243282"
"321","Dcbld1"
"322","Adra2a"
"323","Rapgef3"
"324","Nwd2"
"325","BC049635"
"326","Tcrb"
"327","Mtus1"
"328","Dap"
"329","LOC102638670"
"330","Fmo1"
"331","Fxyd7"
"332","Me3"
"333","Nos1ap"
"334","Lamp5"
"335","Ifi27"
"336","Epb4.1l4b"
"337","Haus4"
"338","Lrfn5"
"339","Edn3"
"340","Aqp5"
"341","Grpr"
"342","Prok2"
"343","Chrna3"
"344","Vwc2l"
"345","Cenpa"
"346","Cdh6"
"347","Fam163a"
"348","Chrna5"
"349","Pthlh"
"350","Elfn1"
"351","Igsf3"
"352","Zbtb18"
"353","Htr2c"
"354","Stxbp6"
"355","Fam212b"
"356","Grm7"
"357","Serpine2"
"358","Kcns3"
"359","Pbx1"
"360","Gabra5"
"361","Igsf11"
